split,xi_bin,n_frames,force_rms_mean,force_rms_median,force_rms_p90,energy_rel_mean,energy_rel_median
test,"(-0.001, 0.1]",439,0.32749147275662804,0.2949102738298856,0.713547482500873,1.120308236568672,0.6292490037540119
test,"(0.1, 0.2]",382,0.258027032877757,0.15624929386201852,0.6436672714585011,1.3202904889730191,0.8746786117462761
test,"(0.2, 0.3]",388,0.2253192466802999,0.125441078495866,0.5819193505124702,1.290714277921109,0.8992682126599902
test,"(0.3, 0.4]",389,0.2278574002965967,0.095510895468113,0.6351768638645011,1.5005625601560002,1.2283346788153722
test,"(0.4, 0.5]",387,0.20152432101761453,0.088331921867698,0.5807363040866158,1.5251535883120977,1.1976921323112035
test,"(0.5, 0.6]",389,0.2289834120715759,0.0967770712443493,0.6621808789480558,1.5573411978933396,1.2640899996385997
test,"(0.6, 0.7]",381,0.1984945267972164,0.0749152637693363,0.6343937373619472,1.4958790234423518,1.189138790621655
test,"(0.7, 0.8]",388,0.22931808821851524,0.10173610664141819,0.6253186531382071,1.544940103582018,1.2049677697641528
test,"(0.8, 0.9]",389,0.24863915081570892,0.119563391229895,0.7031437890806291,1.6351646584479658,1.313151016373013
test,"(0.9, 1.0]",489,0.2180226421767277,0.0752001538258728,0.6862056734077379,1.695789777955793,1.543304983123562
train,"(-0.001, 0.1]",251,0.35343543747154815,0.2395770908238153,0.8757341537754556,1.2569390035593326,0.3622101716582619
train,"(0.1, 0.2]",200,0.495254835340586,0.3921565698815991,1.0500908812045786,1.6397062332815109,1.3041840644045806
train,"(0.2, 0.3]",201,0.4616562868730537,0.36531369007813,0.9871201093831716,1.9226591910404687,1.744518209110538
train,"(0.3, 0.4]",201,0.36448088128756,0.2468946245518319,0.8754912250759314,2.0872839829889744,1.9289555993927932
train,"(0.4, 0.5]",204,0.3741686015696624,0.22806589840586755,0.883366820091708,2.4125519842412486,2.435380634539797
train,"(0.5, 0.6]",194,0.3280520590011608,0.14738180782777616,0.8786475728333915,2.3329419978906127,2.4083150916276286
train,"(0.6, 0.7]",207,0.3387998224330793,0.2211934244991926,0.8569364043284862,2.0299364468381578,1.9690382415701608
train,"(0.7, 0.8]",198,0.3709157888734002,0.2231243851493765,0.9581768894575264,2.109967901296912,2.129952795165991
train,"(0.8, 0.9]",201,0.34840888091531885,0.1927678090358937,0.8965143630822391,2.2025991847917523,2.205721257643745
train,"(0.9, 1.0]",298,0.24036638246616115,0.1069696052319683,0.7715107546912184,2.2327516525538784,2.309642012308359
val,"(-0.001, 0.1]",382,0.3565309114062084,0.28025319099784407,0.8083400756278804,1.2905428835959056,0.7477355401779278
val,"(0.1, 0.2]",336,0.33365689215801897,0.20581580785535208,0.7778699508393594,1.560448310438847,0.9428488607936742
val,"(0.2, 0.3]",334,0.28444065727459944,0.14882928889747116,0.730988388228365,1.6383500734104575,1.2077269255441934
val,"(0.3, 0.4]",333,0.2394466775814226,0.1074319810262929,0.637152882954241,1.716041949410034,1.338652273208936
val,"(0.4, 0.5]",337,0.23958028195086425,0.091758751293368,0.691040950037002,1.8916658626142955,1.7672636221068387
val,"(0.5, 0.6]",333,0.21211287464689016,0.0757505066547838,0.6702522049358705,1.7213361489694263,1.5043451865458335
val,"(0.6, 0.7]",333,0.22078658257990272,0.0842069198350797,0.6841241657427903,1.7632719296172128,1.493875636602752
val,"(0.7, 0.8]",330,0.23559823245943248,0.08127011022441036,0.6859650173519516,1.6640622156245957,1.3107577872178808
val,"(0.8, 0.9]",336,0.23706336297826064,0.09743610161471816,0.6745079447413231,1.9104532749739882,1.8406827114058615
val,"(0.9, 1.0]",434,0.19717572565978625,0.05730431757050615,0.6373804183143068,1.8255141645122128,1.5982256882557522
